2023-02-28 17:14:21.619992 Read holding register for device ID 1 , Start address = 258 Quantity = 16
2023-02-28 17:14:21.671974  * Response 1 from device ID 1 , data = 2376
2023-02-28 17:14:21.671974  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:21.671974  * Response 3 from device ID 1 , data = 4115
2023-02-28 17:14:21.671974  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:21.671974  * Response 5 from device ID 1 , data = 28
2023-02-28 17:14:21.671974  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:21.671974  * Response 7 from device ID 1 , data = 4613
2023-02-28 17:14:21.671974  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:21.671974  * Response 9 from device ID 1 , data = 64050
2023-02-28 17:14:21.671974  * Response 10 from device ID 1 , data = 65535
2023-02-28 17:14:21.671974  * Response 11 from device ID 1 , data = 19
2023-02-28 17:14:21.671974  * Response 12 from device ID 1 , data = 0
2023-02-28 17:14:21.671974  * Response 13 from device ID 1 , data = 0
2023-02-28 17:14:21.671974  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:21.671974  * Response 15 from device ID 1 , data = 499
2023-02-28 17:14:21.671974  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:21.706122 Read holding register for device ID 1 , Start address = 286 Quantity = 42
2023-02-28 17:14:21.815135  * Response 1 from device ID 1 , data = 4091
2023-02-28 17:14:21.815135  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 3 from device ID 1 , data = 2370
2023-02-28 17:14:21.815135  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 5 from device ID 1 , data = 1157
2023-02-28 17:14:21.815135  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 7 from device ID 1 , data = 2072
2023-02-28 17:14:21.815135  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 9 from device ID 1 , data = 2084
2023-02-28 17:14:21.815135  * Response 10 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 11 from device ID 1 , data = 65317
2023-02-28 17:14:21.815135  * Response 12 from device ID 1 , data = 65535
2023-02-28 17:14:21.815135  * Response 13 from device ID 1 , data = 994
2023-02-28 17:14:21.815135  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 15 from device ID 1 , data = 4142
2023-02-28 17:14:21.815135  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 17 from device ID 1 , data = 2378
2023-02-28 17:14:21.815135  * Response 18 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 19 from device ID 1 , data = 65119
2023-02-28 17:14:21.815135  * Response 20 from device ID 1 , data = 65535
2023-02-28 17:14:21.815135  * Response 21 from device ID 1 , data = 64742
2023-02-28 17:14:21.815135  * Response 22 from device ID 1 , data = 65535
2023-02-28 17:14:21.815135  * Response 23 from device ID 1 , data = 797
2023-02-28 17:14:21.815135  * Response 24 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 25 from device ID 1 , data = 65469
2023-02-28 17:14:21.815135  * Response 26 from device ID 1 , data = 65535
2023-02-28 17:14:21.815135  * Response 27 from device ID 1 , data = 64540
2023-02-28 17:14:21.815135  * Response 28 from device ID 1 , data = 65535
2023-02-28 17:14:21.815135  * Response 29 from device ID 1 , data = 4114
2023-02-28 17:14:21.815135  * Response 30 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 31 from device ID 1 , data = 2381
2023-02-28 17:14:21.815135  * Response 32 from device ID 1 , data = 0
2023-02-28 17:14:21.815135  * Response 33 from device ID 1 , data = 64797
2023-02-28 17:14:21.815135  * Response 34 from device ID 1 , data = 65535
2023-02-28 17:14:21.815135  * Response 35 from device ID 1 , data = 64288
2023-02-28 17:14:21.815135  * Response 36 from device ID 1 , data = 65535
